"tweet_id","sentiment","author","content"
1956982449,"worry","DawnofOURnight","@itsgabbith at once haha.  poor aby still gets sore!"
1956982576,"sadness","kShadhavar","diesel yaris... 70mpg  so sad its not available in the US. That'd be awesome."
1956982605,"sadness","Diyeni","I want to buy this great album but unfortunately i dont hav enuff funds  its &quot;long time noisy&quot;"
1956983160,"sadness","crittyjoy","@Pokinatcha  in all honesty...pain   blech."
1956983171,"sadness","paulyum","Ok ... the passengers ... no one is alive ... they're all dead ... you just don't know it til the end ... then you cry ..."
1956983467,"neutral","njc87","At home alone with not much to do"
1956983509,"worry","heyitsmisti","@DavidCookLove ia so much! i haven't really been happy with any of cooks choices for singles."
1956983690,"sadness","Trishalove","@vincew @stefanyngo  i fell asleep on the beach and didn't put on enough sunscreen  lol"
1956983851,"worry","sweetkisses277","So i think my son might have the flu cause I def. just cleaned up a stanky puke mess  Poor pumkpin"
1956983874,"happiness","joia","So great to see Oin &amp; Cynthia.  So happy.  Dinner was great, cute little place.  Too bad Oin got sick afterwards."
1956983931,"neutral","MunkyMunch","I cant give @jertronic any bday nudges."
1956984185,"worry","HarryLyme","...and all woman who transfer their first impressions (sexual/maternal) onto a less 'threatening' man -- are themselves as weak as 'Him'"
1956984205,"neutral","chicabajoelsol","Brothers Bloom won't be opening this weekend in El Paso.  I'll just buy Brick and enjoy that until I can watch Brothers Bloom."
1956984559,"neutral","Marielii","says I miss plurking.  http://plurk.com/p/wxion"
1956984864,"worry","Amantou","Bitten to blood by my cat, on my way for a rabies bacterin. Seems 7 shots for 2 months. Never wash my cats at home again, they hate water"
1956984894,"neutral","Chai_Bo","I miss Voobys!"
1956985129,"neutral","Cookphotos","@Dancing_Monk Neither are ELP!!"
1956985535,"happiness","quarrygirl","@havingmysay  dude, that is my favorite sandwich place ever. ummm did you take PICTURES?"
1956985612,"worry","juliehuang","is sad that shin ae got married...and it wasn't to alex"
1956985758,"worry","jazz_angela","@shondarhimes Sure you will tweet about this when you're back, but news is abuzz about TR Knight's leaving &quot;confirmed&quot; today.  Muy triste."
1956985764,"sadness","Samm_xo","@RachelLock22 ohh thursday i have exams.. all day  what about wednesday ?"
1956985973,"neutral","ssabz","there was a mix up with my dentist appt this afternoon. so they rescheduled me for tomorrow @ 9am."
1956986211,"sadness","metaphysical1","@gcrush @nopantsdance i was just thinking about how excited i am for you guys to move, but then i realized how sad i am to see you go."
1956986359,"worry","bittenbyte","goooood mooorning people... sun is out.. definitly spring now, we had our first spring hail storm, my car has dimples now.."
1956986767,"sadness","AshLaws","@artfuldodga I love those 'it'sakey' USB sticks. We only have the 4GB in Australia"
1956987381,"worry","supkeke","fresh prince and sleepy sleeps my nightly routine  gotta go to Dmv early tmrw"
1956987600,"hate","naterkane","dammit! hulu desktop has totally screwed up my ability to talk to a particular port on one of our dev servers. so i can't watch and code"
1956987828,"worry","palomalopes24","@emmarler i am jealous of your mom talking to @taylorswift13. i want to see you all our twittering is making me miss you"
1956987904,"worry","creativevixen86","I can't sleep...I keep thinking about the puppy I played with today"
1956987950,"worry","smiles4dayyz",".. I'm suppposed to be sleep. But i got some much to do. &amp; i got that one part of the song stuck in my head &quot;your a jerk (iknow)&quot;  blaahh"
1956988145,"neutral","padfootly","@lepetitagneau what's going on sweetheart?"
1956988218,"neutral","callatya","How can it be so freaking difficult to get a system-wide spellchecker? Shit, I'd settle for an office suite one. Stupid unhelpful Windows"
1956988223,"worry","kabilan","Last one month due to summer, strawberry is not availble in the Chennai markets!"
1956988477,"neutral","enlightenthem","@willxxmobb work at 6am. Gotta go to bed soon"
1956989093,"love","Angela_Grace","@RobertF3 correct! I ADORE him. I just plucked him up and put him under my arm cuz he was cryin.  All better now! Hahaha"
1956989514,"sadness","yellowduckx","@sweeetnspicy hiii im on my ipod...i cant fall asleep"
1956989526,"sadness","KaKuBby","dont wanna work 11-830 tomorrow  but i get paid"
1956989560,"sadness","benchidol","feels sad coz i wasnt able to play with the guys!!!  http://plurk.com/p/wxiux"
1956989561,"neutral","outrAjusCharmer","PrinceCharming"
1956989601,"hate","M0anique","@ cayogial i wanted to come to BZ this summer :/ not so sure anymore... a teacher's life in the summer SUCKS"
